EpochTime;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10
1759494811.397156;69092.01;54934.25;36160.10;36538.01;52763.49;38625.85;27718.54;43855.27;27691.12;70780.65
1759494811.510231;69092.01;55000.01;36272.96;36538.01;52825.59;38707.55;27718.54;43759.13;27663.73;70210.84
1759494811.623595;69369.16;55264.16;36348.45;36576.07;52887.79;38666.67;27609.03;43903.44;27609.03;70399.98
1759494811.736187;69092.01;54868.61;36085.11;36728.81;52577.82;38585.07;27636.36;43711.17;27636.36;70116.55
1759494811.849112;68908.17;54868.61;36047.68;36728.81;52454.55;38748.48;27581.73;43759.13;27663.73;70116.55
1759494811.963197;68725.08;55000.01;35935.69;36614.18;52209.22;38585.07;27609.03;43759.13;27663.73;69928.56
1759494812.0751302;69276.59;54607.13;35935.69;36614.18;52516.14;38625.85;27636.36;43663.26;27718.54;70399.98
1759494812.188204;68542.72;54542.05;36047.68;36500.00;52148.14;38544.36;27663.73;43472.38;27828.54;70972.15
1759494812.301165;68633.80;55000.01;36122.58;36728.81;53200.34;38422.53;27581.73;43519.99;27609.03;70780.65
1759494812.414149;68180.19;54672.33;36160.10;36652.34;52639.61;38585.07;27636.36;44585.37;27337.35;70305.32
1759494812.5272052;66846.14;54542.05;36272.96;36652.34;52763.49;38422.53;27581.73;44931.65;27122.14;69928.56
1759494812.640177;66064.51;54737.64;36310.68;36767.12;52516.14;38422.53;27609.03;45635.12;26908.79;69834.85
1759494812.753183;66758.61;54607.13;36500.00;36767.12;52393.07;38422.53;27609.03;45584.39;26776.39;69648.01
1759494812.8662488;65636.19;54607.13;36805.48;36920.87;52701.50;38301.20;27663.73;45787.82;26882.26;69369.16
1759494812.979223;65807.02;54607.13;36920.87;37036.70;52825.59;38422.53;27636.36;45941.18;26882.26;69461.92
1759494813.0922;65381.18;54477.07;36920.87;37114.18;52763.49;38422.53;27663.73;45787.82;26750.00;69461.92
1759494813.205179;64959.46;54412.21;36998.04;37114.18;52577.82;38180.36;27691.12;45889.98;26750.00;69554.87
1759494813.3180969;65551.02;54542.05;36805.48;37152.99;52763.49;38341.59;27746.00;45685.96;26670.99;69461.92
1759494813.431215;65381.18;54542.05;36959.43;36998.04;52516.14;38301.20;27801.00;45584.39;26802.82;69369.16
1759494813.5441148;65551.02;54477.07;36959.43;36614.18;52950.09;38180.36;27828.54;45787.82;26670.99;69000.00
1759494813.657095;65212.00;54737.64;36652.34;36160.10;52763.49;38019.98;28077.82;45889.98;26776.39;69276.59
1759494813.7702122;65636.19;54607.13;37075.41;36614.18;53200.34;37820.71;28527.20;46250.00;26802.82;69092.01
1759494813.883111;65127.66;54607.13;37075.41;36920.87;53769.55;37583.33;29216.60;46457.45;26723.63;69000.00
1759494813.996096;65212.00;54477.07;37900.27;37940.12;53897.22;37900.27;30045.06;46666.16;26802.82;69184.21
1759494814.1090639;64791.91;54542.05;42075.39;40432.44;54868.61;38871.62;31370.85;47193.55;26723.63;68908.17
1759494814.222209;64625.00;55000.01;48273.02;45081.16;55065.88;40216.86;31978.43;47353.34;26829.27;68908.17
1759494814.3351521;64959.46;55330.48;55396.91;51904.83;55197.95;42580.65;32108.11;48769.84;27068.63;68908.17
1759494814.448572;65978.51;57095.69;64375.84;66846.14;56750.00;46198.34;34306.25;50187.50;27256.43;68816.53
1759494814.561067;68451.80;60349.17;73232.55;87598.53;77546.95;47513.88;32336.55;50303.38;27773.48;68180.19
1759494814.6741078;70780.65;67375.01;82030.02;109518.27;103473.54;48218.24;32108.11;48937.01;28583.94;67910.19
1759494814.787091;72236.41;72931.51;84995.26;127155.65;117027.80;49161.14;32336.55;47353.34;29129.40;68270.55
1759494814.900237;72236.41;76137.26;87199.99;140911.38;125688.55;49499.99;32866.02;46198.34;29509.43;67641.80
1759494815.013124;72731.86;78997.77;88948.30;147661.05;128400.67;49386.68;33440.00;46613.86;29597.94;67910.19
1759494815.126236;72831.58;79796.62;90471.91;150917.47;130694.91;48769.84;33852.44;46613.86;29925.07;67910.19
1759494815.239118;71648.66;79796.62;90052.25;153614.03;131999.98;48163.55;33783.28;46666.16;30105.26;67641.80
1759494815.352152;71357.52;79681.73;88948.30;155342.50;130694.91;47675.17;33783.28;46561.64;30135.42;67286.43
1759494815.465177;71454.37;79338.59;89497.54;152932.03;130436.54;47621.32;33748.76;46613.86;30015.01;67641.80
1759494815.578105;71068.20;79338.59;88948.30;152255.31;130436.54;47353.34;33714.29;46561.64;30165.61;67552.69
1759494815.691123;71068.20;79681.73;88811.83;152932.03;130954.14;47246.73;33783.28;46770.99;30075.14;67641.80
1759494815.804117;70876.30;79796.62;89085.09;153957.02;130954.14;47193.55;33714.29;46666.16;29955.02;67731.09
1759494815.917182;71068.20;79681.73;88404.39;154647.03;132263.67;47140.44;33852.44;46509.50;30015.01;67198.03
1759494816.030391;71551.41;80142.87;87067.79;151583.81;133060.20;47087.42;34026.12;46457.45;29895.16;66846.14
